=== N=1000 records ===
  PASS: 1000 records sorted
CSV,NVIDIA H100,0.00,1000,1,0,2.46,0.00,2.46,0.0488,0.00,0.00,0.00,2.0
=== N=10000 records ===
  PASS: 10000 records sorted
CSV,NVIDIA H100,0.00,10000,1,0,2.75,0.00,2.75,0.4361,0.00,0.00,0.00,2.0
=== N=100000 records ===
  PASS: 100000 records sorted
CSV,NVIDIA H100,0.01,100000,1,0,3.53,0.00,3.53,3.3964,0.01,0.01,0.02,2.0
=== N=1000000 records ===
  PASS: 1000000 records sorted
CSV,NVIDIA H100,0.12,1000000,1,0,9.76,0.00,9.76,12.2983,0.12,0.12,0.24,2.0
=== N=10000000 records ===
  PASS: 10000000 records sorted
CSV,NVIDIA H100,1.20,10000000,1,0,64.71,0.00,64.71,18.5445,1.20,1.20,2.40,2.0
=== N=100000000 records ===
  PASS: 100000000 records sorted
CSV,NVIDIA H100,12.00,100000000,1,0,603.51,0.00,603.51,19.8837,12.00,12.00,24.00,2.0
